repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2012) Silver & Gold - 02-04. Happy Family Christmas.flac,Sufjan Stevens - (2012) Silver & Gold - 02-04. Happy Family Christmas.flac,False,15173862,,71.78449,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Libertines - (2004) The Libertines - 14. What Became of the Likely Lads  France.flac,The Libertines - (2004) The Libertines - 14. What Became of the Likely Lads  France.flac,False,123617786,,355.018667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yagya - (2014) Sleepygirls - 01. Sleepygirl 1.repaired.flac,Yagya - (2014) Sleepygirls - 01. Sleepygirl 1.repaired.flac,False,28006466,,323.177982,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/David August - (2016) J.B.Y.  Ouvert (single) - 01. J.B.Y..repaired (2).flac,David August - (2016) J.B.Y.  Ouvert (single) - 01. J.B.Y..repaired (2).flac,False,62038662,,316.304354,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 01-22. Goldberg Variations, BWV 988: Variatio 21 Canone alla Settima. (a 1 Clav.).repaired (2).flac","Johann Sebastian Bach; Lang Lang - (2021) Goldberg Variations (extended edition) - 01-22. Goldberg Variations, BWV 988: Variatio 21 Canone alla Settima. (a 1 Clav.).repaired (2).flac",False,91997468,,276.506667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/José González - (2020) Let It Carry You (Brandt Brauer Frick remix) - 01. Let It Carry You (Brandt Brauer Frick remix).flac,José González - (2020) Let It Carry You (Brandt Brauer Frick remix) - 01. Let It Carry You (Brandt Brauer Frick remix).flac,False,153414646,,461.557,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2021) made this on the spot - 01. made this on the spot.repaired (2).flac,Yaya Bey - (2021) made this on the spot - 01. made this on the spot.repaired (2).flac,False,35287895,,180.953875,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac","Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac",False,45109743,,369.466667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,False,25039611,,196.253333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Zoot Woman - (2009) Things Are What They Used to Be - 09. We Won't Break.repaired (2).flac,Zoot Woman - (2009) Things Are What They Used to Be - 09. We Won't Break.repaired (2).flac,False,24558687,,183.053333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,False,40933480,,414.616848,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tale of Us - (2017) Endless Remixes - 05. Dilemma (Sebastian Mullaert Forestation).repaired (2).flac,Tale of Us - (2017) Endless Remixes - 05. Dilemma (Sebastian Mullaert Forestation).repaired (2).flac,False,198905633,,1098.94775,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Philippe Lavil - (1987) The Best Of - 02. Jamaïcaine.repaired (1).flac,Philippe Lavil - (1987) The Best Of - 02. Jamaïcaine.repaired (1).flac,False,24620950,,210.826667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/R.E.M. - (2019) Monster - 03-07. Tongue (remix).repaired (1).flac,R.E.M. - (2019) Monster - 03-07. Tongue (remix).repaired (1).flac,False,90137493,,240.453333,,NA,COPY->MUSIC
