path,stream_md5,size_bytes
/Volumes/dotad/MUSIC/Phoenix/(2006) It's Never Been Like That/Phoenix - (2006) It's Never Been Like That - 12. Rally (live).flac,,27590144
/Volumes/dotad/MUSIC/Various Artists/(2023) Now That's What I Call Music! 114/Various Artists - (2023) Now That's What I Call Music! 114 - 08. Special.flac,,27590144
/Volumes/dotad/MUSIC/Phoenix/(2006) It's Never Been Like That/Phoenix - (2006) It's Never Been Like That - 14. Second to None (live).flac,,53477376
/Volumes/dotad/MUSIC/Prins Thomas/(2020) Anything for You?/Prins Thomas - (2020) Anything for You? - 01. Anything for You? (original mix).flac,,53477376
/Volumes/dotad/MUSIC/Various Artists/(1991) Maroc Anthologie des Rwayes Morocco Anthology of the Rwayes/Various Artists - (1991) Maroc Anthologie des Rwayes Morocco Anthology of the Rwayes - 04. Tawnza (La frange The Fringe).flac,,53477376
/Volumes/dotad/MUSIC/Zoot Woman/(2010) More Than Ever/Zoot Woman - (2010) More Than Ever - 02. More Than Ever (Grand Son remix).flac,,53477376
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-01. Lisztomania.flac,,49283072
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-03. Fences.flac,,49283072
/Volumes/dotad/MUSIC/Positive Force/(1979) We Got the Funk (single)/Positive Force - (1979) We Got the Funk (single) - 01. We Got the Funk.flac,,49283072
/Volumes/dotad/MUSIC/Prins Thomas/(2005) Goettsching/Prins Thomas - (2005) Goettsching - 01. Goettsching.flac,,49283072
/Volumes/dotad/MUSIC/Sylvia Lindenstrand/(1993) Backanterna/Sylvia Lindenstrand - (1993) Backanterna - 10. Backanterna: Act I: Vi bävar för att tala fritt … (Omega).flac,,49283072
/Volumes/dotad/MUSIC/Various Artists/(2022) Igloo 4/Various Artists - (2022) Igloo 4 - 01. L & L Sitting In A Tree.flac,,49283072
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-06. Lasso.flac,,35454464
/Volumes/dotad/MUSIC/Tamer Nafar & Itamar Ziegler/(2017) Junction 48 (Original Motion Picture Soundtrack)/Tamer Nafar & Itamar Ziegler - (2017) Junction 48 (Original Motion Picture Soundtrack) - 03. ارض اجدادي.flac,,35454464
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-07. Rome.flac,,55574016
/Volumes/dotad/MUSIC/Rikas/(2022) Goodbye Sunshine/Rikas - (2022) Goodbye Sunshine - 02. Never Leaving the House.flac,,55574016
/Volumes/dotad/MUSIC/YACHT/(2022) See Mystery Lights: Remixes & B-Sides/YACHT - (2022) See Mystery Lights: Remixes & B-Sides - 14. The Afterlife (live session).flac,,55574016
/Volumes/dotad/MUSIC/Zoot Woman/(2010) More Than Ever (single)/Zoot Woman - (2010) More Than Ever (single) - 03. Live In My Head (Bill Hamel remix).flac,,55574016
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-09. Girlfriend.flac,,42204672
/Volumes/dotad/MUSIC/Sebb Junior/(2023) I Never knew/Sebb Junior - (2023) I Never knew - 02. Instrumental Mix.flac,,42204672
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-10. Armistice.flac,,39059456
/Volumes/dotad/MUSIC/Sarah Nixey/(2018) Coming Up for Air/Sarah Nixey - (2018) Coming Up for Air - 01. Coming Up for Air.flac,,39059456
/Volumes/dotad/MUSIC/Tinariwen/(2017) Elwan/Tinariwen - (2017) Elwan - 02. Sastanàqqàm.flac,,39059456
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-05. Fences (25 Hrs a Day remix).flac,,50331648
/Volumes/dotad/MUSIC/Phoenix/(2017) Ti amo/Phoenix - (2017) Ti amo - 05. Lovelife.flac,,50331648
/Volumes/dotad/MUSIC/Prins Thomas/(2019) Ambitions Remixes I/Prins Thomas - (2019) Ambitions Remixes I - 02. Urmannen (DJ Nobu Remix).flac,,50331648
/Volumes/dotad/MUSIC/Rufus Wainwright/(2007) Rufus Does Judy at Carnegie Hall/Rufus Wainwright - (2007) Rufus Does Judy at Carnegie Hall - 02-07. Zing! Went the Strings of My Heart.flac,,50331648
/Volumes/dotad/MUSIC/Ziad Rahbani/(1997) Tabeh Lachi Tabeh Chi/Ziad Rahbani - (1997) Tabeh Lachi Tabeh Chi - 02-08. Ma Zala.flac,,50331648
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-06. 1901 (L'Aiglon remix).flac,,39845888
/Volumes/dotad/MUSIC/Rhythm & Sound/(2001) Rhythm & Sound/Rhythm & Sound - (2001) Rhythm & Sound - 01. No Partial.flac,,39845888
/Volumes/dotad/MUSIC/Various Artists/(2017) Saint-Germain-des-Prés Café: Anthology/Various Artists - (2017) Saint-Germain-des-Prés Café: Anthology - 07. I Don't Listen Much (Mercury remix).flac,,39845888
/Volumes/dotad/MUSIC/Various Artists/(2023) Toolroom Ibiza 2023/Various Artists - (2023) Toolroom Ibiza 2023 - 03. Sweat (extended mix).flac,,39845888
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-07. Love Like a Sunset (Turzi remix).flac,,46137344
/Volumes/dotad/MUSIC/Prins Thomas/(2016) Principe del norte/Prins Thomas - (2016) Principe del norte - 02-01. E.flac,,46137344
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Å/Prins Thomas - (2017) Å - 01. Å (Pional Remix).flac,,46137344
/Volumes/dotad/MUSIC/Pépite/(2019) Virages/Pépite - (2019) Virages - 01. Flèches.flac,,46137344
/Volumes/dotad/MUSIC/Yaya Bey/(2022) Remember Your North Star/Yaya Bey - (2022) Remember Your North Star - 11. reprise.flac,,46137344
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-14. Rome (Neighbours with Devendra Banhart).flac,,47185920
/Volumes/dotad/MUSIC/Prins Thomas/(2018) The Movement of the Free Spirit/Prins Thomas - (2018) The Movement of the Free Spirit - 02. Hole  13.1  Aura in the Kitchen  13.1  T03  The Movement of the Free Spirit (The 1st Movement) (Mixed).flac,,47185920
/Volumes/dotad/MUSIC/Prins Thomas/(2019) Bronchi BeatÆ/Prins Thomas - (2019) Bronchi BeatÆ - 01. Bronchi Beat (Wata Igarashi Exhale Remix).flac,,47185920
/Volumes/dotad/MUSIC/Ravyn Lenae/(2022) Light Me Up/Ravyn Lenae - (2022) Light Me Up - 01. Light Me Up.flac,,47185920
/Volumes/dotad/MUSIC/Various Artists/(2012) Paper Cuts #1/Various Artists - (2012) Paper Cuts #1 - 01-02. Do It Good (Crazy P's 'We Found The Parts' mix).flac,,47185920
/Volumes/dotad/MUSIC/Various Artists/(2022) House Old School (The Origins of the House Music New Remixes)/Various Artists - (2022) House Old School (The Origins of the House Music New Remixes) - 03. La Parranda  (Miami Edit).flac,,47185920
/Volumes/dotad/MUSIC/nthng/(2020) Hypnotherapy/nthng - (2020) Hypnotherapy - 06. Spirit of Ecstasy.flac,,47185920
/Volumes/dotad/MUSIC/Phoenix/(2017) Ti amo/Phoenix - (2017) Ti amo - 09. Via Veneto.flac,,56885248
/Volumes/dotad/MUSIC/Rufus Wainwright/(2023) Folkocracy/Rufus Wainwright - (2023) Folkocracy - 13. Cotton Eyed Joe.flac,,56885248
/Volumes/dotad/MUSIC/YACHT/(2022) See Mystery Lights: Remixes & B-Sides/YACHT - (2022) See Mystery Lights: Remixes & B-Sides - 07. The Afterlife (Andrew WK remix).flac,,56885248
/Volumes/dotad/MUSIC/Pink Floyd/(1994) A Saucerful of Secrets/Pink Floyd - (1994) A Saucerful of Secrets - 07. Jugband Blues.flac,,135265792
/Volumes/dotad/MUSIC/R.E.M./(1992) Automatic for the People/R.E.M. - (1992) Automatic for the People - 10. Man on the Moon.flac,,135265792
/Volumes/dotad/MUSIC/Red Hot Chili Peppers/(2014) The Studio Album Collection 1991-2011/Red Hot Chili Peppers - (2014) The Studio Album Collection 1991-2011 - 02-08. Walkabout.flac,,135265792
/Volumes/dotad/MUSIC/Pink Floyd/(1994) The Division Bell/Pink Floyd - (1994) The Division Bell - 03. Marooned.flac,,219151872
/Volumes/dotad/MUSIC/Pink Floyd/(1994) The Division Bell/Pink Floyd - (1994) The Division Bell - 09. Lost for Words.flac,,219151872
/Volumes/dotad/MUSIC/Prince/(1979) Prince/Prince - (1979) Prince - 01. I Wanna Be Your Lover.flac,,219151872
"/Volumes/dotad/MUSIC/Pink Floyd/(2014) The Endless River/Pink Floyd - (2014) The Endless River - 16. Side 4, Pt. 2: Eyes to Pearls.flac",,33816576
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Paradise Goulash/Prins Thomas - (2017) Paradise Goulash - 39. Biology Theme.flac,,33816576
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Prins Thomas 5/Prins Thomas - (2017) Prins Thomas 5 - 01. Here Comes The Band.flac,,33816576
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Prins Thomas 5/Prins Thomas - (2017) Prins Thomas 5 - 03. Bronchi Beat.flac,,33816576
